phrase_name,keyword_1_phrase,keyword_2_phrase,exeption_phrase,caseSens,destinationkeywordcolumn
Google_tag_manager,google[[:space:]]?(tag)?,manager,,1,Google_tag_manager
Root_cause,root,cause,,1,Root_cause
Building_models,build(ing)?,model,,1,Building_models
Zoning_analysis,zoning,anal(ysis)?(isis)?(ysing)?(ising)?(ytics)?(itics)?(yses)?,,1,Zoning_analysis
Adobe_analytics,adobe,analyt,,1,Adobe_analytics
Rezerw_techniczno_ubezpieczeniowych,rezerw,techniczno[[:space:]]?[[:punct:]]?[[:space:]]?ubezpieczeniowych,,1,Rezerw_techniczno_ubezpieczeniowych
Analytical_tools1,anal[iy]tical,tools,,1,Analytical_tools
Analytical_tools2,narzędz[[:alpha:]]?(iami)?(ach)?,analityczn[[:alpha:]]?(ych)?(ymi)?(ego)?,,1,Analytical_tools
Credit_risk1,credit,risk,,1,Credit_risk
Credit_risk2,ryzyk[[:alpha:]]?(iem)?,kredyto,,1,Credit_risk
Statistical_modeling,statistical,model,,1,Statistical_modeling
Econometric_modeling,econometric(al)?,model,,1,Econometric_modeling
Economical_modeling,economic(al)?,model,,1,Economical_modeling
Quantitative_modeling1,quantitativ(e)?(ly)?,model,,1,Quantitative_modeling
Quantitative_modeling2,quantitative,anal(ysis)?(isis)?(ysing)?(ising)?(ytics)?(itics)?,quantitative[[:punct:]][[:space:]]?anal(ysis)?(isis)?(ysing)?(ising)?(ytics)?(itics)?,1,Quantitative_modeling
Quantitative_modeling3,model[[:alpha:]]?(owanie)?(ach)?(ami)?(om)?,ilościo,,1,Quantitative_modeling
Quantitative_modeling4,analiz[[:alpha:]]?(owanie)?(ach)?(ami)?(om)?,ilościo,,1,Quantitative_modeling
Numerical_modeling1,numeric(al)?,model,,1,Numerical_modeling
Numerical_modeling2,numeric(al)?,anal(ysis)?(isis)?(ysing)?(ising)?(ytics)?(itics)?,numeric(al)?[[:punct:]][[:space:]]?anal(ysis)?(isis)?(ysing)?(ising)?(ytics)?(itics)?,1,Numerical_modeling
Presales2,pre,sale,,1,Presales
Data_visualization1,data,vi[sz]uali[sz],,1,Data_visualization
Data_visualization2,vi[sz]uali[sz]e,data,,1,Data_visualization
Data_visualization3,[vw]izualiz(owanie)?(acją)?(ację)?,dan,,1,Data_visualization
